,name,category,moreInfoURL,logoURL,id,description,membership,meetingDetails,websiteURL
10,African Graduate Students Connect,Cultural,https://orgsync.com/172043,https://cdn0.orgsync.com/images/os-profile-pics/3df51243-65e0-4ad8-8ba1-e31ff35d8d12.png?cover=1&s=100,172043,"African Graduate Students Connect (AGSC) exists to provide a unique social, professional and academic network to promote sociocultural enrichment, academic success, and Africa-related volunteering opportunities for graduate students of African descent or of the African Diaspora. 
This organization will provide periodic events or activities for African graduate students, with the intention of: fostering increased camaraderie and ""a spirit of community"" away from home; providing motivational, mentoring and morale support in times of need; facilitating the dissemination or sharing of pertinent and valuable academic, institutional and career/employment information; leveraging Georgia Tech African alumni to create professional networking opportunities; and, partnering collaboratively with other campus or external organizations to engage in STEM-related volunteering initiatives in Africa. 
This organization considers and values other black campus organizations as indispensable partners in its overall vision and agenda for organizational success.
This organization also welcomes participation from and collaborations with non-African entities or persons who consider themselves to be ""Friends of Africa.""","Membership will take effect when an interested party signs up via the membership form and, *if dues are required, pays all dues set for the semester. The sign-up process will require each prospective member to (at a minimum) provide the following information: full name; school email address; country of nativity; degree type (MSc or PhD); academic department; departmental research group; and, a general or specific research area summary. (*At present, no dues are being collected)",,https://gtagsc.wixsite.com/agsc/about?fbclid=IwAR0L8HSPCv8qxPNGbnmuiTGx-0kOZ_mxUUyPqxmZ2fWupqWB8x3IVmtGqFI
11,African Student Association,Cultural,https://orgsync.com/179991,https://cdn2.orgsync.com/images/os-profile-pics/23c936ab-3451-4d02-a297-73ec9da826cf.png?cover=1&s=100,179991,"The African Student Association (ASA) at Georgia Tech is a cultural and social organization committed to the integration of African students on campus as well as engaging other individuals with an interest in African culture. We strive to promote interaction among all students of African origins or affiliations with African nations and among students interested in African affairs. Throughout the year, we host different events to celebrate our culture as well as educate the Georgia Tech and Atlanta community about current affairs in Africa",A student becomes a member when they have paid dues.,Wednesday,https://gatechasa.wixsite.com/gt-asa-website
12,AIESEC,Professional/Departmental,https://orgsync.com/135787,https://cdn0.orgsync.com/images/os-profile-pics/hakf7w4xqscxbw8_150.jpg?cover=1&s=100,135787,"AIESEC is an international, not-for-profit, non-political organization run by students and recent graduates at institutions of higher education across 124 countries and territories.  We help Georgia Tech students develop as global leaders by offering internships & volunteer opportunities abroad, as well as developing our members in a local setting.",We recruit for new members once a semester. Applications for membership are released online once a semester. They can be found at aiesecus.org/membership. We interview all applicants.,Monday,http://www.aiesecus.org
13,Airsoft Club at Georgia Tech,Competitive Sports,https://orgsync.com/135869,https://cdn2.orgsync.com/images/os-profile-pics/at6qocvvum79dng_150.jpg?cover=1&s=100,135869,"The sport of airsoft involves the use of replica firearms that fire small projectiles at a designated target in scenario-based game play. Simply put, it is like playing a first-person shooter in real life.
As a club, we strive to appeal to a variety of interests within the sport.  We typically take trips to local fields a multiple times a month for smaller games.  We also take a few trips a year to military simulation events that last several days.  Our last MILSIM event was located in a decommissioned nuclear fuel processing plant.
All you need to get started is a can-do attitude and the willingness to meet new people.",Students can become members by paying dues and by registering for the club on all required GT portals.  It is also recommended that they join the club Facebook group.,,https://www.facebook.com/groups/gt.airsoft/
14,Alliance for Diversity in Science and Engineering,Cultural,https://orgsync.com/166777,https://cdn1.orgsync.com/images/os-profile-pics/nhnf7vz8qx7fizy_150.jpg?cover=1&s=100,166777,"The GT Chapter of ADSE is graduate student-run organization that aims to support underrepresented groups in STEM graduate programs.
Our goals are:
A.	promote interest in STEM graduate studies through outreach initiatives.
B.	facilitate enrichment opportunities which will promote an inclusive environment and support structure for underrepresented groups navigating STEM graduate studies through social events.
C.	support postgraduate preparation for careers in academia, industry, and government through professional seminar and workshop series.","Students can become members by attending any of our events and expressing an interest by providing information including name, email, and major. Active members are required to pay national dues.",Monday,https://www.facebook.com/groups/ADSE.GT/
15,Alpha Chi Omega,College Panhellenic Council (CPC) Chapters,https://orgsync.com/136062,https://cdn0.orgsync.com/images/os-profile-pics/bzlhpfsm3egdm4h_150.jpg?cover=1&s=100,136062,"Alpha Chi Omega is a National Social Sorority founded in 1885. At Georgia Tech we pride ourselves on being a dynamic group of women – we have sisters from all over the country, involved in numerous organizations both on and off campus. From intramurals to socials to philanthropy, we are very involved in the Georgia Tech Greek Community, all while maintaining high academic standards.",,Wednesday,http://www.gt-axo.com/
16,Alpha Chi Sigma,Honor Society,https://orgsync.com/136064,https://cdn0.orgsync.com/images/os-profile-pics/jfk4ed6qwexhmir_150.jpg?cover=1&s=100,136064,"We are the Alpha Omega Chapter of Alpha Chi Sigma, Georgia Tech's Professional co-ed Chemistry Fraternity. Our organization strives to build its members into better professionals who will augment their respective fields within the chemical sciences. We have a strong passion to give back to the community through our semesterly STEM outreach events. Our multiple Professional Events throughout the year improve each Brother's personal integrity as scientists or as engineers.
Alpha Chi Sigma offers a unique way to meet with colleagues of similar academic backgrounds and to network with a larger community of both professors and alumni. Consider Rushing our Organization to find out more!","Rushees must be majoring in one of the Chemical Sciences (Chemistry, Biology, Biochemistry, Chemical engineering, Biomedical engineering, Material Science & engineering, Earth & Atmospheric sciences, Pre-medicine). Rushees must be at least second-semester undergraduate freshman (or sophomores by credit hours within if first-semester undergraduate freshman).",Thursday,http://axs.gtorg.gatech.edu/
17,Alpha Delta Chi,College Panhellenic Council (CPC) Chapters,https://orgsync.com/136034,https://cdn4.orgsync.com/images/os-profile-pics/o28g5w0j4mg208g_150.jpg?cover=1&s=100,136034,"We are the Sigma chapter of Alpha Delta Chi, a nationally Christian sorority.",,Wednesday,http://gtadx.org/
18,Alpha Delta Pi,College Panhellenic Council (CPC) Chapters,https://orgsync.com/136432,https://orgsync.com/assets/icons/portals/no_org_profile_150.png,136432,"Alpha Delta Pi is one of the National Panhellenic sororities on Georgia Tech's campus.  In Alpha Delta Pi, our mission is to provide members with a quality experience through the use of effective programming, which fosters academic success, personal development, social responsibility, and leadership experience.",,Wednesday,http://gtadpi.squarespace.com/
19,Alpha Epsilon Pi,Interfraternity Council (IFC) Chapters,https://orgsync.com/137222,https://cdn4.orgsync.com/images/os-profile-pics/fd426bfc-e5f3-42f2-b4d9-4552310d2f91.png?cover=1&s=100,137222,"We are a Greek social organization with a goal of embodying Jewish values to develop leaders for the future of the American Jewish community. We participate in numerous activities on campus including philanthropic, athletic, and social events.",,Wednesday,http://aepizeta.com/
20,Alpha Eta Mu Beta,Honor Society,https://orgsync.com/136141,https://cdn2.orgsync.com/images/os-profile-pics/ter3zfpx0viym95_150.jpg?cover=1&s=100,136141,Alpha Eta Mu Beta is the national biomedical engineering honor society. Our organization is restricted to biomedical engineering students. Invitations are extended to students in the top fifth of the junior class and top third of the senior class.,An invitation will be sent to students in the top fifth of the junior class and the top third of the senior class. Students will then need to pay one time dues.,,http://aemb.bme.gatech.edu
21,Alpha Gamma Delta,College Panhellenic Council (CPC) Chapters,https://orgsync.com/135730,https://cdn3.orgsync.com/images/os-profile-pics/wsmj35cp1ube5jv_150.jpg?cover=1&s=100,135730,"Alpha Gamma Delta is a group of passionate and involved women working to make Tech's community and the communities we are each a part of better through philanthropy, leadership, personal betterment, and love.",,Wednesday,https://www.gtalphagammadelta.com/
22,Alpha Kappa Alpha,National Pan-Hellenic Council (NPHC) Chapters,https://orgsync.com/137224,https://cdn1.orgsync.com/images/os-profile-pics/91052dc8-6983-4642-a136-cbc2ec7f2f36.png?cover=1&s=100,137224,"Alpha Kappa Alpha Sorority, Incorporated (AKA) is an international service organization that was founded on the campus of Howard University in Washington, D.C. in 1908. It is the oldest Greek-lettered organization established by African-American college-educated women. Alpha Kappa Alpha is comprised of graduate and undergraduate chapters in the United States, the U. S. Virgin Islands, the Caribbean, Canada, Japan, Germany, Korea and on the continent of Africa. Its membership is comprised of distinguished women who boast excellent academic records, proven leadership skills, and are involved in the global community through advocacy and service. Alpha Kappa Alpha has dedicated itself to improving the quality of life for citizens worldwide and promoting peace.",,Sunday,
23,Alpha Kappa Psi,Honor Society,https://orgsync.com/135761,https://cdn1.orgsync.com/images/os-profile-pics/b2v5xtegnkn1avo_150.jpg?cover=1&s=100,135761,"Alpha Kappa Psi (AKΨ) is Georgia Tech's Premier Co-Ed Professional Business Fraternity. We work to bring together Tech's highest achieving, business-minded students to foster a community of growth and success. With over 80 members spanning all majors, all disciplines, and all cultures at Tech, Alpha Kappa Psi consistently ranks among the highest achieving organizations, in academics, job opportunities, and campus involvement. Boasting an average GPA 0.3 points higher than Georgia Tech's average and alumni working America's top firms such as Google, Amazon, Microsoft, Goldman Sachs, Deloitte, and Accenture, Alpha Kappa Psi serves as Atlanta's hearth of student success and professional leadership.",Please visit http://gtakpsi.com/rush to learn more about our rush events at the beginning of every semester.,Thursday,http://gtakpsi.com/
24,Alpha Omega Campus Ministry,Religious/Spiritual,https://orgsync.com/136030,https://cdn1.orgsync.com/images/os-profile-pics/e0b30abf-69ec-4cf4-a29b-50370f38e1b6.jpg?cover=1&s=100,136030,"We are a campus ministry radically devoted to following Jesus in any way he commands us to. We strongly emphasize basing our doctrine and lives on the Bible (1 Timothy 4:16, Acts 17:11-12). We also understand the importance of deep, spiritual relationships and the crucial role basic discipling relationships played in the scriptures and continues to play in our lives. Come check us out if you're interested!",Students can become members if they have demonstrated a commitment to following the Bible.,"Sunday, Tuesday, Friday, To Be Determined",http://nrcoc.org/category/campus-ministry/
25,Alpha Omega Epsilon,College Panhellenic Council (CPC) Chapters,https://orgsync.com/136514,https://cdn1.orgsync.com/images/os-profile-pics/shub2ce0o4jbvjv_150.jpg?cover=1&s=100,136514,"Our motto, ‘Friendship, Leadership, Professionalism', describes the Sigma Chapter of Alpha Omega Epsilon perfectly. As an organization, we strive to promote women in engineering, science, and technology both in the collegiate environment and in the workforce. As a sisterhood, we strive to provide opportunities for growth and development both as a person and as a young professional, and to foster friendships that will last a lifetime through professional, social, philanthropic, and sisterhood events.
To say that the women of Alpha Omega Epsilon are accomplished is an understatement. The sisters of the Sigma Chapter are incredibly involved in the Georgia Tech community in several roles, including FASET leaders, undergraduate researchers, teaching assistants, newspaper editors, and student ambassadors, to name a few. Sisters and alumnae of the Sigma Chapter have studied abroad on all 7 continents (even Antarctica!), and have worked in a wide variety of industries and positions, including internships and co-ops with Honda, Raytheon, ExxonMobil, and Disney. The dedication, motivation and professionalism of our sisters does not go unnoticed- members of the Sigma Chapter hold prestigious awards, including the President's Scholarship, President's Undergraduate Research Award, and Outstanding Researcher of the Year.",,Wednesday,http://www.gtaoe.org
26,Alpha Phi,College Panhellenic Council (CPC) Chapters,https://orgsync.com/136408,https://cdn1.orgsync.com/images/os-profile-pics/4uevft9ketw5ghr_150.jpg?cover=1&s=100,136408,"Alpha Phi is a National Panhellenic Conference Sorority at Georgia Tech. A well-balanced calendar focusing on sisterhood, social events, philanthropy, and scholarship helps us thrive on campus. We offer women a culture of support, understanding, friendship and celebration.",,Wednesday,http://www.gtalphaphi.com/
27,Alpha Phi Alpha,National Pan-Hellenic Council (NPHC) Chapters,https://orgsync.com/136457,https://cdn4.orgsync.com/images/os-profile-pics/5qzww3e5uk9jiik_150.jpg?cover=1&s=100,136457,"The Nu Mu Chapter of Alpha Phi Alpha was founded at the Southern Institute of Technology, now known as Southern Polytechnic State University. The Nu Mu Chapter was founded on the same principles as Alpha Phi Alpha, manly deeds, scholarship, and love for all mankind.
The founders of Nu Mu are chapter are: Larry Hardy, William Saddler, Anthony Thomas, and Ronald Thomas. These four brothers from Alpha Phi chapter, located at Clark College, now Clark Atlanta University, took it upon themselves to begin work on founding a chapter at Southern Tech. Through their diligence and hard work, Nu Mu was founded on April 2, 1977 with the crossing of our charter members, Genesis. These members are Wallace Libscomb, Michael Hill, Robert Mack, Nelson Sheats, Vernon Ford, and Delacy Jordan. The following year, one person entered Alpha Phi Alpha through the Nu Mu Chapter; his name is Gabriel Summerland, The Lonely Warrior.
During this time, a group of young men attending Georgia Tech expressed their interest in Alpha. This group was known as AIM, or Alpha Intended Men. The brothers of Nu Mu petitioned for these men attending Georgia Tech to be initiated into Alpha through the Nu Mu chapter. In the spring of 1978, approval was given to initiate Georgia Tech students Robert Herndon and Ulysses Grady, along with Southern Tech student Donnie Maddux. Thus Three the Hard Way, was born. Brothers Herndon and Grady became the first men of Alpha on the Georgia Tech campus.
Celebrating over 30 years, the Nu Mu chapter has a very rich history. Brothers from Nu Mu have not only excelled while at Georgia Tech, but also perpetually hold leadership positions in other campus organizations. After leaving Tech, Nu Mu brothers have attained Master's and Doctor's degrees in engineering and other fields. Brothers from Nu Mu also hold positions in such prominent companies as Proctor & Gamble, Ford, American Express, General Motors, and the many other companies. Leading the way in the Nu Mullennium, we look to continue to hold up the light of Alpha Phi Alpha.",,Sunday,https://www.numualphas.com/
28,Alpha Phi Omega,Community Service,https://orgsync.com/135858,https://cdn4.orgsync.com/images/os-profile-pics/lygtve8z8e3oblr_150.jpg?cover=1&s=100,135858,"Alpha Phi Omega is an international, co-ed service fraternity based on the principles of leadership, friendship, and service. It provides its members the opportunity to develop leadership skills as they volunteer on their campus, in their community, for the nation, and for the organization.","To become a brother of our chapter, you must complete a semester long pledge process and then your second semester you will become an active member. Membership is open to all undergrad and grad students. Requirements for each form of membership are below. 
To Join:
Attend one rush event
Be sponsored by one active brother of the fraternity
Pay a $35 Pledge Fee
Attend the Induction Ceremony
Pay a $45 Initiation Fee at the end of the pledge process
Pledge Requirements:
Complete 18 hours of service
Attend weekly pledge and chapter meetings
Pass quizzes and final exam based on fraternity history and traditions
Obtain signatures of 90% (30 members) of the active brotherhood through personal interviews
Make a pledge paddle
Brother Requirements:
Dues: $81 per semester
24 hours of service
Attend chapter meetings
Be active in a committee
Attend one Pledge Meeting
Attend one Rush Event
Attend Elections Chapter",Wednesday,https://apogammazeta.wordpress.com/
29,Alpha Pi Mu (Industrial Engineering Honor Society),Honor Society,https://orgsync.com/136391,https://cdn1.orgsync.com/images/os-profile-pics/c2i9d0tk1xben9r_150.jpg?cover=1&s=100,136391,"Our Mission is to prepare our members for professional success, encourage collaboration between students and members of the faculty, and serve the needs of the Industrial Engineering community, while recognizing outstanding achievement in the academic field of Industrial Engineering.","To become a member, a student needs to:
​- Be in top 1/3rd of Senior class and top 1/5th of Junior class 
- Attend the Initiation Ceremony",Tuesday,http://www.alphapimu-gatech.org/
30,Alpha Sigma Phi,Interfraternity Council (IFC) Chapters,https://orgsync.com/136414,https://cdn0.orgsync.com/images/os-profile-pics/216bfqdlw2lv43x_150.jpg?cover=1&s=100,136414,"The Zeta Eta chapter of Alpha Sigma Phi was founded on April 21, 2012 with 33 dedicated brothers. Despite the deeply rooted Greek culture at Georgia Tech, we have managed to stand out as highly motivated and passionate about making Greek life the best it can possibly be.
﻿﻿﻿  
﻿﻿We are looking for men of the highest character here at our Institute. Alpha Sig offers many different opportunities for top men on campus, including: leadership development, campus involvement, community service, strong academics, sporting events, and of course brotherhood and an unrivaled social experience.﻿﻿",,Wednesday,http://gatech.alphasigmaphi.org
31,Alpha Tau Omega,Interfraternity Council (IFC) Chapters,https://orgsync.com/136467,https://cdn0.orgsync.com/images/os-profile-pics/kw5lkjvy9go7n15_150.jpg?cover=1&s=100,136467,"Founded on September 18th, 1888, our chapter is the oldest on Georgia Tech's campus, and we pride ourselves on our longstanding tradition of excellence. Scholarship, philanthropy, campus involvement, and intramurals are just a few of the areas in which we thrive. Having brothers from across the country, we possess a little bit of everything. ATΩ develops leaders in the community and instills brotherhood that will last a lifetime.",,Wednesday,http://www.gtato.org/
32,Alpha Xi Delta,College Panhellenic Council (CPC) Chapters,https://orgsync.com/136392,https://cdn3.orgsync.com/images/os-profile-pics/v8b2l6p66o58itn_150.jpg?cover=1&s=100,136392,"""First at Tech, First in Sisterhood!""
Welcome to the Gamma Eta Chapter of Alpha Xi Delta! Here at Georgia Tech, Alpha Xi Delta is a devoted sisterhood filled with enthusiasm, diversity, and a proud legacy. We are a group of fun and passionate women, and during our years as sisters, we have made wonderful memories and lifelong friendships. Our vision at Alpha Xi Delta is ""inspiring women to realize their potential,” and we have been doing that at Georgia Tech since 1954, as the first sorority on Tech's campus. I hope you will take a look around our website to see some of the reasons I am lucky to call myself an Alpha Xi Delta. If you have any questions please feel free to contact me!
Xi Love and Go Jackets,
Isabel Veith, President",,Wednesday,http://gatech.alphaxidelta.org/
33,Alternative Service Breaks,Community Service,https://orgsync.com/135731,https://cdn2.orgsync.com/images/os-profile-pics/natyy77ztfglpmm_150.jpg?cover=1&s=100,135731,"Alternative Service Breaks hosts group-oriented community service trips during Institute Breaks (i.e. fall, winter, spring, and summer breaks). Trips include student trip leaders, staff advisors, and student participants and all trips are alcohol and drug free. The trip locations vary from domestic to international locations and bring a diverse group of Tech students together to address service issues including, but not limited to, affordable housing, early childhood education, hunger/food insecurity, disaster relief, and environmental sustainability. We are always looking for participants who want to be part of something bigger in this world and have a desire to create a smaller community within the ""Tech bubble"". ASB is a great place for participants to maintain a platform through which they can develop as leaders, learn about surrounding communities and diversity, and tackle issues through service.",Student participants are selected through an application process for each Institute break and student trip leaders are selected through an application and interview process for each Institute break.,Tuesday,http://civic-engagement.gatech.edu/content/alternative-service-break-asb
34,Amateur Radio Club,Recreation/Leisure,https://orgsync.com/147537,https://cdn3.orgsync.com/images/os-profile-pics/0455820d-3c5c-4d2a-b44b-8b50e260d31e.jpg?cover=1&s=100,147537,"The Georgia Tech Amateur Radio Club, W4AQL, is dedicated to serving all members of the Georgia Tech community who are interested in amateur or ""ham"" radio. The club maintains a VHF repeater and a ""shack"" in Van Leer which is home to a variety of radio equipment that is available for members to use at their convenience. W4AQL holds monthly amateur radio license exams, a semesterly ""boot camp"" that teaches everything you need to know for the Technician Class license exam, and participates in a variety of events throughout the year such as contests and other social and service events.","Membership in the Georgia Tech Amateur Radio Club is open to students of the Georgia Institute of Technology. Associate membership is open to all others in the Georgia Tech community, including faculty and alumni. Annual dues are $24 for members, $33 for associate members. When you become a member or associate member, you then receive access to the various functions of our repeater, operating privileges in our shack, and the opportunity to provide input to the future direction of W4AQL. Members and associate members are also eligible to obtain a key to the shack so that you may operate in between classes or at night, when there wouldn't be anyone else in the shack. The deposit to receive a key is $50 and fully refundable.",Monday,http://www.w4aql.org
35,American Institute of Aeronautics and Astronautics,Professional/Departmental,https://orgsync.com/135920,https://cdn0.orgsync.com/images/os-profile-pics/ws086yszp8fre9t_150.jpg?cover=1&s=100,135920,"Georgia Tech's student branch of the American Institute of Aeronautics and Astronautics (AIAA) has the largest enrollment of any student branch with over 300 members. Events hosted by our organization are open to undergraduate and graduate students of all majors and focus on enriching students' understanding of and appreciation for the aerospace industry through interactions with professionals and industry leaders, research and technical development opportunities, etc. 
GT AIAA is extremely active on campus and throughout Atlanta. We have regular monthly meetings on Tuesdays in Weber L1 from 5-6 pm. At these meetings, we bring in representatives and alumni from industry / research / academia to talk about their work in the Aerospace field and opportunities for our student members. In addition, we organize recruitment events (information sessions, resume critique sessions, etc) for industry representatives. Participants from the past few years include AIAA National Headquarters, AIAA Atlanta Section, NASA JPL, NASA Marshall, GE Aviation, SpaceX, Delta Airlines, Southwest Airlines, Saab Sensis, The Boeing Company, Georgia Innovation Aerospace, SpaceWorks, Lockheed Martin, Georgia Tech Research Institute, Raytheon, Orbital ATK, and many more. 
In the spring, our members attend the Southeast Region Student Conference, held to showcase the research efforts of undergraduate and graduate students. 
We also coordinate and co-host events with other AE student organizations/chapters at Georgia Tech throughout the year, including American Helicopter Society (AHS), Ramblin' Rocket Club, Sigma Gamma Tau, School of Aerospace Engineering Student Advisory Council (SAESAC), etc. Examples of these events include various tours, the annual Aerospace Engineering Picnic, and several speaker events. 
AIAA is an organization dedicated to addressing the professional needs of the aerospace industry. They hold several conferences a year and publish a number of peer reviewed journals. For more information about the national organization, visit their website: aiaa.org.","- National members pay dues online at aiaa.org
- $10 for GT AIAA members",Tuesday,http://www.gtaiaa.weebly.com
36,American Institute of Architecture Students,Professional/Departmental,https://orgsync.com/143330,https://cdn0.orgsync.com/images/os-profile-pics/pyfayuopl15nn8m_150.jpg?cover=1&s=100,143330,"The American Institute of Architecture Students (AIAS) is an independent, nonprofit, student-run organization dedicated to providing unmatched progressive programs, information, and resources on issues critical to architecture and the experience of education. The mission of the AIAS is to promote excellence in architectural education, training, and practice; to foster an appreciation of architecture and related disciplines; to enrich communities in a spirit of collaboration; and to organize students and combine their efforts to advance the art and science of architecture.
Our Georgia Tech chapter is primarily devoted to connecting our members with invaluable resources that will enhance their growth as students and future professionals: firm contacts, architectural tools, seminars, resume and portfolio crits, and other events. We are also devoted to strengthening our local communities by providing no-charge design and labor services.",Students must be either majoring or minoring in Architecture,,https://gtaias.wordpress.com/
37,American Medical Student Association,Professional/Departmental,https://orgsync.com/136399,https://cdn0.orgsync.com/images/os-profile-pics/c711b839-3ed0-45e8-9640-47aefff9f98c.png?cover=1&s=100,136399,"The American Medical Student Association (AMSA) is a student organization committed to the concerns of students who aspire to become physicians. AMSA has a national membership of over 28,000 composed of premedical and medical students, interns, and medical residents. Membership is open to any student who is preparing to attend medical school. The Georgia Tech chapter of AMSA strives to provide a supportive environment for students pursuing health professions. We offer frequent guest speakers including campus pre-medical advisors, medical school admissions representatives, MCAT preparation firm representatives, current physicians, and more. AMSA also holds medically related volunteering opportunities such as MedShare, fundraising events for organizations including AID Atlanta, and multiple health awareness and professional networking events throughout the year.  AMSA will also hold events pertaining to other health fields in order to expose our members to more post-graduate options.",The registration period for new and returning members opens up at the beginning of each semester and lasts for one month. Additional registration information is available at our website: https://www.gtamsa.org/,,https://www.gtamsa.org/
